"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length"
"forward_row_1","4760652","AB020418.1","2",392,373,"85312",2,"reverse_row_1","1",75,92,2,317
"forward_row_1","4760653","AB020419.1","3",390,368,"85310",2,"reverse_row_1","1",75,92,2,315
"forward_row_1","12248809","AB021766.1","3",1009,1036,"86968",2,"reverse_row_1","0",1402,1383,2,393
"forward_row_1","7707415","AB024916.1","3",801,824,"89990",2,"reverse_row_1","0",1174,1156,2,373
"forward_row_1","7707416","AB024917.1","3",801,824,"89991",2,"reverse_row_1","0",1176,1158,2,375
"forward_row_1","6683600","AB025201.1","3",757,784,"51549",2,"reverse_row_1","0",1131,1112,2,374
"forward_row_1","6683601","AB025202.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683602","AB025203.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683603","AB025204.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683604","AB025205.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683605","AB025206.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683606","AB025207.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683607","AB025208.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683608","AB025209.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683609","AB025210.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683610","AB025211.1","3",756,783,"51549",2,"reverse_row_1","0",1130,1111,2,374
"forward_row_1","6683611","AB025212.1","3",757,784,"462890",2,"reverse_row_1","0",1131,1112,2,374
"forward_row_1","6683612","AB025213.1","3",758,785,"462890",2,"reverse_row_1","0",1132,1113,2,374
"forward_row_1","6683613","AB025214.1","3",758,785,"90751",2,"reverse_row_1","0",1132,1113,2,374
"forward_row_1","6683614","AB025215.1","3",759,786,"90751",2,"reverse_row_1","0",1133,1114,2,374
"forward_row_1","6683615","AB025216.1","3",761,788,"90753",2,"reverse_row_1","0",1135,1116,2,374
"forward_row_1","7592757","AB026031.1","1",38,65,"91975",2,"reverse_row_1","0",413,396,2,375
"forward_row_1","7592758","AB026032.1","2",38,65,"91968",2,"reverse_row_1","0",415,398,2,377
"forward_row_1","7592759","AB026033.1","1",38,65,"3363798",2,"reverse_row_1","0",412,395,2,374
"forward_row_1","7592760","AB026034.1","3",38,65,"91969",2,"reverse_row_1","0",401,384,2,363
"forward_row_1","7592761","AB026035.1","3",38,65,"91969",2,"reverse_row_1","0",407,390,2,369
"forward_row_1","7592762","AB026036.1","3",38,65,"91970",2,"reverse_row_1","0",408,391,2,370
"forward_row_1","7592763","AB026037.1","2",38,65,"91971",2,"reverse_row_1","0",410,391,2,372
"forward_row_1","7592764","AB026038.1","2",38,65,"721938",2,"reverse_row_1","0",403,386,2,365
"forward_row_1","7592765","AB026039.1","3",38,59,"91973",2,"reverse_row_1","0",394,377,2,356
"forward_row_1","6092019","AB026585.1","2",425,403,"95695",2,"reverse_row_1","1",112,129,2,313
"forward_row_1","6092020","AB026586.1","2",366,344,"95698",2,"reverse_row_1","1",53,70,2,313
"forward_row_1","6092021","AB026587.1","2",414,392,"95699",2,"reverse_row_1","1",103,120,2,311
"forward_row_1","6092022","AB026588.1","2",425,403,"95700",2,"reverse_row_1","1",112,129,2,313
"forward_row_1","6092023","AB026589.1","2",425,403,"95697",2,"reverse_row_1","1",110,127,2,315
"forward_row_1","6092024","AB026590.1","2",409,387,"95696",2,"reverse_row_1","1",94,111,2,315
"forward_row_1","6092025","AB026591.1","2",395,373,"56091",2,"reverse_row_1","1",80,98,2,315
"forward_row_1","6092026","AB026592.1","2",376,354,"56090",2,"reverse_row_1","1",61,79,2,315
"forward_row_1","6092027","AB026593.1","2",425,403,"95690",2,"reverse_row_1","1",112,129,2,313
"forward_row_1","6092028","AB026594.1","2",417,395,"95692",2,"reverse_row_1","1",102,119,2,315
